Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,1,1,100.0,10,9701,8,Standard_Match,Step 1: Approximate,16,15,20,57,4,42,80.0%,26.3%,❌ Diff: RDP=16 vs Santa=15,77,31,46,10_Recombination events.csv|9701,9701,10_Recombination events.csv,1824,4719,"['18', '6']",1000,0.0001,0.02,0.1,5000,50,1824.0,4721.0,1824-4721,"['18', '6']","['31', '16', '36', '50', '29', '2', '5', '38', '45', '21', '43']","['42', '40']",0.0,2.0,2.0,100.0,2895.0,723.8,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,8,1824-4719,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,7,0,8,❌ None
1,2,1,100.0,9,9911,1,Standard_Match,Step 1: Approximate,12,11,16,58,4,47,75.0%,19.0%,❌ Diff: RDP=12 vs Santa=11,74,23,51,9_Recombination events.csv|9911,9911,9_Recombination events.csv,1611,5985,"['18', '32']",1000,0.0001,0.02,0.1,5000,50,1611.0,5986.0,1611-5986,"['18', '32']",['48'],"['23', '4', '17']",0.0,1.0,1.0,100.0,4374.0,1093.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,1611-5985,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.9,0,1,7,0,1,❌ None
2,3,1,100.0,8,9786,2,⭐ Excellent Match (1/1),Step 2: Best Match,5,5,5,29,0,24,100.0%,17.2%,✅ Equal,34,10,24,8_Recombination events.csv|9786,9786,8_Recombination events.csv,7359,8196,"['18', '26']",1000,0.0001,0.02,0.1,5000,50,7360.0,8195.0,7360-8195,"['18', '26']","['45', '29', '42']","['2', '20']",1.0,1.0,2.0,99.8,,,,,✅ Complete (2/2),58.96,100.0,2/2,100.0,2.0,2.0,2/2,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,7359-8196,99.8%,100.0%,0,99.8,,,,,,,,,,100.0,99.8,0,1,2,0,2,❌ None
3,4,1,100.0,3,10062,1,Standard_Match,Step 1: Approximate,6,6,8,39,2,33,75.0%,15.4%,✅ Equal,47,12,35,3_Recombination events.csv|10062,10062,3_Recombination events.csv,7080,10000,"['23', '35']",1000,0.0001,0.02,0.1,5000,50,7080.0,9980.0,7080-9980,"['23', '35']",['38'],"['2', '29', '14']",0.0,20.0,20.0,99.31506849315068,2920.0,730.0,25.0,Exact Recombinant Match,,56.86301369863014,,,,,,,70,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,7080-10000,99.3%,100.0%,0,99.31506849315068,,,,,,,,,,100.0,98.0,0,1,7,0,1,❌ None
4,5,1,100.0,2,10101,4,Standard_Match,Step 1: Approximate,13,13,19,56,6,43,68.4%,23.2%,✅ Equal,75,26,49,2_Recombination events.csv|10101,10101,2_Recombination events.csv,6864,9030,['31'],1000,0.0001,0.02,0.1,5000,50,6862.0,9030.0,6862-9030,['31'],"['16', '10', '39']","['6', '5']",2.0,0.0,2.0,100.0,2166.0,541.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,6864-9030,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,7,0,4,❌ None
5,6,2,100.0,10,9713,6,Standard_Match,Step 1: Approximate,16,15,20,57,4,42,80.0%,26.3%,❌ Diff: RDP=16 vs Santa=15,77,31,46,10_Recombination events.csv|9713,9713,10_Recombination events.csv,795,1461,['47'],1000,0.0001,0.02,0.1,5000,50,793.0,1461.0,793-1461,['47'],"['31', '16', '36', '50', '29', '2', '5', '38', '45', '21', '43']","['27', '3', '35', '39']",2.0,0.0,2.0,100.0,666.0,166.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,795-1461,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,7,0,6,❌ None
6,7,1,99.94994994994994,1,9856,13,Standard_Match,Step 1: Approximate,11,11,13,29,2,18,84.6%,37.9%,✅ Equal,42,22,20,1_Recombination events.csv|9856,9856,1_Recombination events.csv,7704,9882,['40'],1000,0.0001,0.02,0.1,5000,50,7703.0,9883.0,7703-9883,['40'],"['2', '9', '25', '18']",['46'],1.0,1.0,2.0,100.0,2178.0,544.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,13,7704-9882,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,7,0,13,❌ None
7,8,1,99.9,4,9791,6,🎯 Perfect Match (1/1),Step 2: Best Match,7,7,14,38,7,31,50.0%,18.4%,✅ Equal,52,14,38,4_Recombination events.csv|9791,9791,4_Recombination events.csv,3117,7659,['26'],1000,0.0001,0.02,0.1,5000,50,3118.0,7658.0,3118-7658,['26'],"['49', '37']",['42'],1.0,1.0,2.0,100.0,,,,,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,3117-7659,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,1,0,6,❌ None
8,9,2,99.8998998998999,9,9586,2,Standard_Match,Step 1: Approximate,12,11,16,58,4,47,75.0%,19.0%,❌ Diff: RDP=12 vs Santa=11,74,23,51,9_Recombination events.csv|9586,9586,9_Recombination events.csv,2046,8925,"['2', '22']",1000,0.0001,0.02,0.1,5000,50,2044.0,8926.0,2044-8926,"['2', '22']","['50', '34']","['39', '44', '3', '48', '37', '40', '10', '25', '36']",2.0,1.0,3.0,100.0,3121.0,780.2,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,2046-8925,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,7,0,2,❌ None
9,10,1,99.8998998998999,7,9411,8,Standard_Match,Step 1: Approximate,9,9,10,54,1,45,90.0%,16.7%,✅ Equal,64,18,46,7_Recombination events.csv|9411,9411,7_Recombination events.csv,564,7476,['26'],1000,0.0001,0.02,0.1,5000,50,562.0,7477.0,562-7477,['26'],"['20', '16', '4', '2', '23', '30', '5', '1', '44', '13', '45', '36', '50', '22', '40', '24', '34', '42', '19', '33', '41', '37', '43']",['8'],2.0,1.0,3.0,100.0,3088.0,772.0,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,8,564-7476,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,7,0,8,❌ None
10,11,2,99.85,4,9780,3,🎯 Perfect Match (1/1),Step 2: Best Match,7,7,14,38,7,31,50.0%,18.4%,✅ Equal,52,14,38,4_Recombination events.csv|9780,9780,4_Recombination events.csv,7884,10000,['9'],1000,0.0001,0.02,0.1,5000,50,7885.0,9998.0,7885-9998,['9'],['37'],['15'],1.0,2.0,3.0,99.9,,,,,🎯 Perfect (1/1),58.98,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,7884-10000,99.9%,100.0%,0,99.9,,,,,,,,,,100.0,99.7,0,1,1,0,3,❌ None
11,12,2,99.84984984984985,7,9961,1,Standard_Match,Step 1: Approximate,9,9,10,54,1,45,90.0%,16.7%,✅ Equal,64,18,46,7_Recombination events.csv|9961,9961,7_Recombination events.csv,1113,3237,"['47', '7']",1000,0.0001,0.02,0.1,5000,50,1112.0,3240.0,1112-3240,"['47', '7']",['19'],"['18', '10']",1.0,3.0,4.0,100.0,2124.0,531.0,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,1113-3237,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.6,0,1,7,0,1,❌ None
12,13,2,99.84984984984985,1,9821,11,✅ Complete Match (1/1),Step 2: Best Match,11,11,13,29,2,18,84.6%,37.9%,✅ Equal,42,22,20,1_Recombination events.csv|9821,9821,1_Recombination events.csv,9477,9741,['3'],1000,0.0001,0.02,0.1,5000,50,9480.0,9742.0,9480-9742,['3'],"['2', '9', '40', '18']","['20', '16', '39', '8', '24']",3.0,1.0,4.0,98.9,,,,,🎯 Perfect (1/1),58.78,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,11,9477-9741,98.9%,100.0%,0,98.9,,,,,,,,,,100.0,99.6,0,1,3,0,11,❌ None
