,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,1,1,100,12,2447,1,Standard_Match,Step 1: Approximate,3,3,3,6,0,3,100.0%,50.0%,✅ Equal,9,6,3,12_Recombination events.csv|2447,2447,12_Recombination events.csv,7077,10000,"['41', '47', '50']",1000,0.0001,0.005,0.1,5000,50,7075,9998,7075-9998,"['41', '47', '50']","['17', '1']",['26'],2,2,4,99.93157714676703,2923,730.8,25,Exact Recombinant Match,,58.98631542935341,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7077-10000,99.9%,100.0%,0,99.93157714676703,,,,,,,,,,100,99.6,0,1,7,0,1,❌ None
1,2,1,100,26,2446,1,Standard_Match,Step 1: Approximate,6,6,8,13,2,7,75.0%,46.2%,✅ Equal,21,12,9,26_Recombination events.csv|2446,2446,26_Recombination events.csv,1365,5889,"['23', '25', '28', '29', '31', '33', '39', '40', '47', '9']",1000,0.0001,0.005,0.1,5000,50,1367,5888,1367-5888,"['23', '29', '39', '47', '25', '28', '40', '31', '33', '9']","['21', '26', '32']",['14'],2,1,3,99.93368700265252,4524,1131,25,Exact Recombinant Match,,58.9867374005305,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1365-5889,99.9%,100.0%,0,99.93368700265252,,,,,,,,,,100,99.7,0,1,7,0,1,❌ None
2,3,1,100,20,2173,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4,20_Recombination events.csv|2173,2173,20_Recombination events.csv,5139,6399,"['1', '26', '32', '45']",1000,0.0001,0.005,0.1,5000,50,5140,6402,5140-6402,"['45', '26', '32', '1']","['23', '29', '41', '12', '2', '18', '21', '17', '5', '33', '44']",['19'],1,3,4,99.9,,,,,✅ Complete (4/4),58.980000000000004,100,4/4,100,4,4,4/4,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5139-6399,99.9%,100.0%,0,99.9,,,,,,,,,,50,99.6,0,1,2,0,1,❌ None
3,4,1,100,21,2500,1,Standard_Match,Step 1: Approximate,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3,21_Recombination events.csv|2500,2500,21_Recombination events.csv,8520,10000,['14'],1000,0.0001,0.005,0.1,5000,50,8538,9998,8538-9998,['14'],"['48', '11', '39', '42', '24', '18', '3', '38', '22', '47', '49', '5', '31', '43', '50', '4', '44']","['2', '37', '20', '40', '27', '16', '8', '23', '12', '36', '21', '25', '35', '32', '33', '15', '29', '13', '19', '26', '9', '45', '10', '6', '34', '7', '17', '28', '46']",18,2,20,98.64864864864865,1480,370,25,Exact Recombinant Match,,56.729729729729726,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8520-10000,98.6%,100.0%,0,98.64864864864865,,,,,,,,,,100,98,0,1,7,0,1,❌ None
4,5,1,100,22,2445,1,Standard_Match,Step 1: Approximate,4,4,5,6,1,2,80.0%,66.7%,✅ Equal,11,8,3,22_Recombination events.csv|2445,2445,22_Recombination events.csv,663,4455,['46'],1000,0.0001,0.005,0.1,5000,50,662,4456,662-4456,['46'],"['41', '29', '39']",['44'],1,1,2,100,3792,948,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,663-4455,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,1,❌ None
5,6,1,100,24,2514,1,🎯 Perfect Match (1/1),Step 2: Best Match,1,1,1,10,0,9,100.0%,10.0%,✅ Equal,11,2,9,24_Recombination events.csv|2514,2514,24_Recombination events.csv,5994,10000,"['2', '44']",1000,0.0001,0.005,0.1,5000,50,5998,9998,5998-9998,"['2', '44']","['3', '42']","['6', '39']",4,2,6,99.9,,,,,✅ Complete (2/2),58.980000000000004,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5994-10000,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.4,0,1,1,0,1,❌ None
6,7,1,100,25,2362,1,🎯 Perfect Match (1/1),Step 2: Best Match,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8,25_Recombination events.csv|2362,2362,25_Recombination events.csv,6975,10000,"['2', '25', '36', '37', '38', '40', '5', '7']",1000,0.0001,0.005,0.1,5000,50,6974,9997,6974-9997,"['36', '2', '38', '37', '25', '7', '5', '40']","['10', '22']","['23', '48', '39', '42', '3', '47', '20', '46', '26', '50']",1,3,4,99.9,,,,,✅ Complete (8/8),58.980000000000004,100,8/8,100,8,8,8/8,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6975-10000,99.9%,100.0%,0,99.9,,,,,,,,,,50,99.6,0,1,1,0,1,❌ None
7,8,1,100,18,2314,"1, 2",Cross Match (Case_S1_E2E),Step 6: Cross Matches,2,2,2,4,0,2,100.0%,50.0%,✅ Equal,6,4,2,18_Recombination events.csv|2314,2314,18_Recombination events.csv,429,7164,"['24', '29', '4', '8']",1000,0.0001,0.005,0.1,5000,50,400,7163,400-944 | 6642-7163,"['24', '29', '4', '8'] | ['24', '29', '4', '8']","['23', '15', '28', '25'] | ['23', '15', '25', '17', '28']","['50', '2', '34', '38', '46', '16', '44'] | ['50', '2', '34', '38', '46', '16', '44']",,,,,,,,,,85.5,,,100,,,,50,,,,,,,100,,,,,100,,,,2,,,,,,,,,100,✅ Yes,✅ Yes,2,1,None,0,✅ Yes,✅ Yes,"1, 2",429-7164,100.0%,100.0%,100,100,,,,,,,,,,100,97,5,3,4,100,"2,1",✅ Start+End
8,9,1,100,14,2454,1,Standard_Match,Step 1: Approximate,1,1,1,11,0,10,100.0%,9.1%,✅ Equal,12,2,10,14_Recombination events.csv|2454,2454,14_Recombination events.csv,1617,10000,"['12', '21', '26', '33', '47', '49', '8']",1000,0.0001,0.005,0.1,5000,50,1620,9997,1620-9997,"['12', '21', '47', '49', '33', '26', '8']","['23', '41', '39', '18', '13', '38', '25', '35', '30', '16']","['15', '14', '37']",3,3,6,99.92842657759752,1617,404.2,25,Exact Recombinant Match,,58.985685315519504,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1617-10000,99.9%,100.0%,0,99.92842657759752,,,,,,,,,,100,99.4,0,1,7,0,1,❌ None
9,10,1,100,13,2390,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3,13_Recombination events.csv|2390,2390,13_Recombination events.csv,4596,7599,"['17', '21', '33', '34', '48']",1000,0.0001,0.005,0.1,5000,50,4667,7650,4667-7650,"['48', '21', '34', '17', '33']","['23', '38', '28', '1', '43', '16']","['12', '45', '13', '3', '7', '35', '4']",71,51,122,97.6,,,,,✅ Complete (5/5),56.519999999999996,100,5/5,100,5,5,5/5,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4596-7599,97.6%,100.0%,0,97.6,,,,,,,,,,40,87.8,0,1,3,0,1,❌ None
