,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,0,1,1,100,1,4857,1,Standard_Match,Step 1: Approximate,6,5,6,21,0,16,100.0%,23.8%,❌ Diff: RDP=6 vs Santa=5,27,11,16,1_Recombination events.csv|4857,4857,1_Recombination events.csv,2964,7278,['42'],1000,0.0002,0.01,0.1,5000,50,2964,7278,2964-7278,['42'],"['35', '24', '48']","['39', '9', '41', '43', '4', '32', '19']",0,0,0,100,4314,1078.5,25,Exact Recombinant Match,,60,,,,,,,100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2964-7278,100.0%,100.0%,0,100,,,,,,,,,,100,100,0,1,7,0,1,❌ None
90,91,92,2,98.15,1,4878,5,Standard_Match,Step 1: Approximate,6,5,6,21,0,16,100.0%,23.8%,❌ Diff: RDP=6 vs Santa=5,27,11,16,1_Recombination events.csv|4878,4878,1_Recombination events.csv,399,10000,['9'],1000,0.0002,0.01,0.1,5000,50,410,9974,410-9974,['9'],['29'],['41'],11,26,37,99.61462347672118,399,99.8,25,Exact Recombinant Match,,56.92292469534424,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,399-10000,99.6%,100.0%,0,99.61462347672118,,,,,,,,,,100,96.3,0,1,7,0,5,❌ None
113,114,115,3,80.8,1,4677,4,⭐ Excellent Match (1/1),Step 2: Best Match,6,5,6,21,0,16,100.0%,23.8%,❌ Diff: RDP=6 vs Santa=5,27,11,16,1_Recombination events.csv|4677,4677,1_Recombination events.csv,7623,8826,"['19', '32', '33', '39', '4', '41', '42', '43', '5', '9']",1000,0.0002,0.01,0.1,5000,50,7614,8826,7614-8826,"['39', '9', '43', '41', '4', '32', '42', '19']","['45', '7', '34', '3', '47', '11', '10', '36', '44', '13', '17', '15', '22', '25', '37', '1']","['29', '30', '8', '14', '50', '16', '2', '6', '31', '49', '23', '12', '18', '21', '40', '20', '26', '46', '28', '27', '38']",9,0,9,100,,,,,✅ Complete (8/8),59,80,8/8,100,10,8,8/8,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,7623-8826,100.0%,100.0%,0,100,,,,,,,,,,62.5,99.1,0,1,2,0,4,❌ None
155,157,158,4,50,1,4666,"3, 6",Cross Match (Case_E2_E1S),Step 6: Cross Matches,6,5,6,21,0,16,100.0%,23.8%,❌ Diff: RDP=6 vs Santa=5,27,11,16,1_Recombination events.csv|4666,4666,1_Recombination events.csv,2001,10000,['45'],1000,0.0002,0.01,0.1,5000,50,76,2001,76-356 | 372-2001,['45'] | ['45'],"['34', '47', '11', '36', '17', '22', '37', '1'] | ['29', '30', '8', '14', '50', '16', '2', '39', '43', '6', '31', '32', '49', '23', '12', '18', '21', '41', '40', '20', '4', '42', '26', '9', '46', '28', '27', '38', '19']","['10'] | ['25', '13']",,,,,,,,,,85.5,,,100,,,,50,,,,,,,100,,,,,100,,,,2,,,,,,,,,100,✅ Yes,✅ Yes,6,3,,0,✅ Yes,✅ Yes,"3, 6",2001-10000,100.0%,100.0%,100,100,,,,,,,,,,100,0,5,3,4,100,"6,3",✅ Start+End
175,177,178,5,49.8,1,4802,2,🎯 Perfect Match (1/1),Step 2: Best Match,6,5,6,21,0,16,100.0%,23.8%,❌ Diff: RDP=6 vs Santa=5,27,11,16,1_Recombination events.csv|4802,4802,1_Recombination events.csv,3789,10000,"['33', '5']",1000,0.0002,0.01,0.1,5000,50,3791,9998,3791-9998,"['5', '33']","['39', '9', '41', '43', '4', '32', '19']","['7', '24', '10', '35', '17', '25', '47', '45', '11', '36', '44', '13', '22', '15', '37', '1', '48', '3', '34']",2,2,4,99.9,,,,,✅ Complete (2/2),58.98,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,3789-10000,99.9%,100.0%,0,99.9,,,,,,,,,,0,99.6,0,1,1,0,2,❌ None
37,37,38,1,99.94994994994994,2,4290,2,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,3,12,0,9,100.0%,25.0%,✅ Equal,15,6,9,2_Recombination events.csv|4290,4290,2_Recombination events.csv,8931,10000,"['1', '13', '14', '15', '18', '19', '2', '20', '21', '23', '24', '25', '26', '27', '28', '29', '3', '30', '33', '34', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '47', '5', '50', '6', '8']",1000,0.0002,0.01,0.1,5000,50,8933,10000,8933-10000,"['29', '30', '8', '14', '24', '50', '38', '2', '39', '43', '6', '23', '25', '18', '47', '45', '5', '21', '41', '40', '20', '4', '36', '44', '13', '15', '42', '26', '37', '1', '33', '3', '28', '27', '34', '19']","['7', '49', '35']","['9', '46', '31', '11', '16', '10', '32', '17', '22', '12', '48']",2,0,2,99.8,,,,,✅ Complete (36/36),58.96,100,36/36,100,36,36,36/36,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,8931-10000,99.8%,100.0%,0,99.8,,,,,,,,,,88.88888888888889,99.8,0,1,1,0,2,❌ None
151,153,154,2,50,2,5059,1,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,3,12,0,9,100.0%,25.0%,✅ Equal,15,6,9,2_Recombination events.csv|5059,5059,2_Recombination events.csv,3894,4419,"['18', '6']",1000,0.0002,0.01,0.1,5000,50,3894,4420,3894-4420,"['6', '18']",['7'],"['3', '38', '43']",0,1,1,100,,,,,✅ Complete (2/2),59,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3894-4419,100.0%,100.0%,0,100,,,,,,,,,,0,99.9,0,1,1,0,1,❌ None
210,212,213,3,0,2,5049,3,Case_F_Start_Start,Step 1: Approximate,3,3,3,12,0,9,100.0%,25.0%,✅ Equal,15,6,9,2_Recombination events.csv|5049,5049,2_Recombination events.csv,6471,10000,"['39', '45']",1000,0.0002,0.01,0.1,5000,50,6566,8932,6566-8932,"['45', '39']","['4', '28', '23', '42', '19']","['5', '21', '1', '2']",95,1068,1163,67.0444885236611,3529,882.2,25,Exact Recombinant Match,,16.40889770473222,,,,,,,30,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,3,6471-10000,67.0%,,0,67.0444885236611,,,,,,,,,,0,0,0,1,8,0,3,❌ None
27,27,28,1,100,3,4917,4,🎯 Perfect Match (1/1),Step 2: Best Match,6,6,11,28,5,22,54.5%,21.4%,✅ Equal,39,12,27,3_Recombination events.csv|4917,4917,3_Recombination events.csv,828,5472,['13'],1000,0.0002,0.01,0.1,5000,50,829,5472,829-5472,['13'],['10'],"['5', '9', '46', '3', '4', '32', '26', '18', '1', '33']",1,0,1,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,828-5472,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,1,0,4,❌ None
34,34,35,2,99.94994994994994,3,4774,5,🎯 Perfect Match (1/1),Step 2: Best Match,6,6,11,28,5,22,54.5%,21.4%,✅ Equal,39,12,27,3_Recombination events.csv|4774,4774,3_Recombination events.csv,5826,10000,"['39', '7']",1000,0.0002,0.01,0.1,5000,50,5826,9998,5826-9998,"['39', '7']","['21', '41', '6', '31', '40', '11', '24', '50', '28', '36', '35', '17', '15', '42', '19']",['29'],0,2,2,100,,,,,✅ Complete (2/2),59,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,5826-10000,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,1,0,5,❌ None
