,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
0,1,1,100,73,5050,1,⭐ Excellent Match (1/1),Step 2: Best Match,4,3,5,10,1,7,80.0%,30.0%,❌ Diff: RDP=4 vs Santa=3,15,7,8,73_Recombination events.csv|5050,5050,73_Recombination events.csv,2244,10000,['19'],1000,0.000025,0.01,0.1,5000,50,2246,9986,2246-9986,['19'],"['47', '48']",['41'],2,14,16,99.8,,,,,🎯 Perfect (1/1),56.96,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2244-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100,98.4,0,1,2,0,1,❌ None
1,2,1,100,46,4764,3,✅ Complete Match (1/1),Step 2: Best Match,3,3,5,15,2,12,60.0%,20.0%,✅ Equal,20,6,14,46_Recombination events.csv|4764,4764,46_Recombination events.csv,3090,7029,"['39', '6']",1000,0.000025,0.01,0.1,5000,50,3132,7027,3132-7027,"['39', '6']","['8', '30']","['5', '41', '47', '35', '26', '45', '49', '33', '14']",42,2,44,98.9,,,,,✅ Complete (2/2),56.78,100,2/2,100,2,2,2/2,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,3090-7029,98.9%,100.0%,0,98.9,,,,,,,,,,100,95.6,0,1,3,0,3,❌ None
2,3,1,100,89,4903,2,⭐ Excellent Match (1/1),Step 2: Best Match,3,3,5,11,2,8,60.0%,27.3%,✅ Equal,16,6,10,89_Recombination events.csv|4903,4903,89_Recombination events.csv,3654,6453,['16'],1000,0.000025,0.01,0.1,5000,50,3680,6454,3680-6454,['16'],"['24', '29']","['31', '21']",26,1,27,99.1,,,,,🎯 Perfect (1/1),56.82,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,3654-6453,99.1%,100.0%,0,99.1,,,,,,,,,,100,97.3,0,1,2,0,2,❌ None
3,4,1,100,25,4959,3,Standard_Match,Step 1: Approximate,3,4,3,22,0,18,100.0%,18.2%,❌ Diff: RDP=3 vs Santa=4,25,7,18,25_Recombination events.csv|4959,4959,25_Recombination events.csv,1806,3207,"['18', '41']",1000,0.000025,0.01,0.1,5000,50,1848,3221,1848-3221,"['18', '41']",['28'],"['47', '6', '1', '2', '15', '30', '36', '44', '48', '33', '9']",42,14,56,97.00214132762312,1401,350.2,25,Exact Recombinant Match,,56.400428265524624,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,1806-3207,97.0%,100.0%,0,97.00214132762312,,,,,,,,,,100,94.4,0,1,7,0,3,❌ None
4,5,1,100,48,4854,1,Standard_Match,Step 1: Approximate,3,3,3,23,0,20,100.0%,13.0%,✅ Equal,26,6,20,48_Recombination events.csv|4854,4854,48_Recombination events.csv,4263,7362,"['37', '6']",1000,0.000025,0.01,0.1,5000,50,4272,7366,4272-7366,"['37', '6']",['28'],"['24', '14']",9,4,13,99.70958373668925,3099,774.8,25,Exact Recombinant Match,,58.94191674733786,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4263-7362,99.7%,100.0%,0,99.70958373668925,,,,,,,,,,100,98.7,0,1,7,0,1,❌ None
5,6,1,100,24,4806,1,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,2,28,0,26,100.0%,7.1%,✅ Equal,30,4,26,24_Recombination events.csv|4806,4806,24_Recombination events.csv,231,6477,"['1', '10', '12', '27', '30', '39', '9']",1000,0.000025,0.01,0.1,5000,50,231,6478,231-6478,"['27', '39', '1', '10', '30', '12', '9']",['42'],"['41', '47', '29', '34', '4', '26', '16', '6', '45', '2', '36', '48', '31', '44', '14']",0,1,1,100,,,,,✅ Complete (7/7),59,100,7/7,100,7,7,7/7,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,231-6477,100.0%,100.0%,0,100,,,,,,,,,,71.42857142857143,99.9,0,1,1,0,1,❌ None
6,7,1,100,49,4677,1,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,7,0,5,100.0%,28.6%,✅ Equal,9,4,5,49_Recombination events.csv|4677,4677,49_Recombination events.csv,1527,3702,"['15', '17', '2', '22', '24', '26', '32', '4', '44', '6']",1000,0.000025,0.01,0.1,5000,50,1531,3686,1531-3686,"['24', '17', '22', '26', '6', '2', '15', '32', '44', '4']","['18', '40', '38', '47', '28', '11', '1', '10', '36', '25', '49', '14', '8']","['27', '21', '20', '3', '50', '43']",4,16,20,99.1,,,,,✅ Complete (10/10),56.82,100,10/10,100,10,10,10/10,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1527-3702,99.1%,100.0%,0,99.1,,,,,,,,,,60,98,0,1,2,0,1,❌ None
7,8,1,100,5,4990,1,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,4,11,0,7,100.0%,36.4%,✅ Equal,15,8,7,5_Recombination events.csv|4990,4990,5_Recombination events.csv,3717,10000,['41'],1000,0.000025,0.01,0.1,5000,50,3708,9986,3708-9986,['41'],['31'],"['14', '3', '39']",9,14,23,99.8,,,,,🎯 Perfect (1/1),56.96,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3717-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100,97.7,0,1,2,0,1,❌ None
8,9,1,100,88,4852,2,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,4,8,0,4,100.0%,50.0%,✅ Equal,12,8,4,88_Recombination events.csv|4852,4852,88_Recombination events.csv,5112,7539,['36'],1000,0.000025,0.01,0.1,5000,50,5108,7538,5108-7538,['36'],"['2', '10']","['5', '12', '6']",4,1,5,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,5112-7539,100.0%,100.0%,0,100,,,,,,,,,,100,99.5,0,1,2,0,2,❌ None
9,10,1,100,51,5102,1,✅ Complete Match (1/1),Step 2: Best Match,3,4,3,14,0,10,100.0%,28.6%,❌ Diff: RDP=3 vs Santa=4,17,7,10,51_Recombination events.csv|5102,5102,51_Recombination events.csv,7086,10000,['6'],1000,0.000025,0.01,0.1,5000,50,7098,9790,7098-9790,['6'],['50'],"['22', '33']",12,210,222,92.4,,,,,🎯 Perfect (1/1),53.480000000000004,100,1/1,100,1,1,1/1,50,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7086-10000,92.4%,100.0%,0,92.4,,,,,,,,,,100,77.8,0,1,3,0,1,❌ None
10,11,1,100,21,4865,1,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,3,16,1,14,66.7%,12.5%,✅ Equal,19,4,15,21_Recombination events.csv|4865,4865,21_Recombination events.csv,3225,7563,"['10', '12', '22', '46', '6']",1000,0.000025,0.01,0.1,5000,50,3223,7558,3223-7558,"['46', '22', '6', '10', '12']",['7'],"['18', '17', '3', '50', '16', '15', '43', '13']",2,5,7,99.9,,,,,✅ Complete (5/5),58.980000000000004,100,5/5,100,5,5,5/5,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3225-7563,99.9%,100.0%,0,99.9,,,,,,,,,,20,99.3,0,1,1,0,1,❌ None
11,12,1,100,97,4876,2,🎯 Perfect Match (1/1),Step 2: Best Match,10,10,14,23,4,13,71.4%,43.5%,✅ Equal,37,20,17,97_Recombination events.csv|4876,4876,97_Recombination events.csv,966,6423,['47'],1000,0.000025,0.01,0.1,5000,50,965,6422,965-6422,['47'],['42'],['26'],1,1,2,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,966-6423,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,1,0,2,❌ None
12,13,1,100,53,5017,3,Standard_Match,Step 1: Approximate,5,5,6,22,1,17,83.3%,22.7%,✅ Equal,28,10,18,53_Recombination events.csv|5017,5017,53_Recombination events.csv,960,10000,['34'],1000,0.000025,0.01,0.1,5000,50,955,9986,955-9986,['34'],"['23', '6']","['38', '10', '28']",5,14,19,99.84513274336283,960,240,25,Exact Recombinant Match,,56.969026548672566,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,960-10000,99.8%,100.0%,0,99.84513274336283,,,,,,,,,,100,98.1,0,1,7,0,3,❌ None
13,14,1,100,20,4975,1,✅ Complete Match (1/1),Step 2: Best Match,5,4,5,14,0,10,100.0%,28.6%,❌ Diff: RDP=5 vs Santa=4,19,9,10,20_Recombination events.csv|4975,4975,20_Recombination events.csv,4401,10000,['46'],1000,0.000025,0.01,0.1,5000,50,4386,9966,4386-9966,['46'],"['29', '6']","['31', '40', '37', '19']",15,34,49,99.4,,,,,🎯 Perfect (1/1),56.88,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4401-10000,99.4%,100.0%,0,99.4,,,,,,,,,,100,95.1,0,1,3,0,1,❌ None
14,15,1,100,85,4970,1,Standard_Match,Step 1: Approximate,6,6,10,23,4,17,60.0%,26.1%,✅ Equal,33,12,21,85_Recombination events.csv|4970,4970,85_Recombination events.csv,5262,6786,['24'],1000,0.000025,0.01,0.1,5000,50,5262,6786,5262-6786,['24'],"['31', '7', '15', '1']","['40', '4']",0,0,0,100,1524,381,25,Exact Recombinant Match,,60,,,,,,,100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5262-6786,100.0%,100.0%,0,100,,,,,,,,,,100,100,0,1,7,0,1,❌ None
15,16,1,100,55,5033,1,Standard_Match,Step 1: Approximate,3,3,3,28,0,25,100.0%,10.7%,✅ Equal,31,6,25,55_Recombination events.csv|5033,5033,55_Recombination events.csv,2373,6027,['40'],1000,0.000025,0.01,0.1,5000,50,2365,6030,2365-6030,['40'],['33'],"['21', '24', '29', '39', '16', '49', '14']",8,3,11,100,3654,913.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2373-6027,100.0%,100.0%,0,100,,,,,,,,,,100,98.9,0,1,7,0,1,❌ None
16,17,1,100,84,4845,1,Standard_Match,Step 1: Approximate,2,2,2,11,0,9,100.0%,18.2%,✅ Equal,13,4,9,84_Recombination events.csv|4845,4845,84_Recombination events.csv,1320,10000,['28'],1000,0.000025,0.01,0.1,5000,50,1316,9984,1316-9984,['28'],"['41', '16', '10', '37', '4', '8']","['47', '29', '3', '26', '42', '15', '36', '31']",4,16,20,99.81566820276497,1320,330,25,Exact Recombinant Match,,56.963133640552996,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1320-10000,99.8%,100.0%,0,99.81566820276497,,,,,,,,,,100,98,0,1,7,0,1,❌ None
17,18,1,100,94,4843,1,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,15,0,13,100.0%,13.3%,✅ Equal,17,4,13,94_Recombination events.csv|4843,4843,94_Recombination events.csv,411,5682,['32'],1000,0.000025,0.01,0.1,5000,50,424,5684,424-5684,['32'],"['31', '10', '7']","['38', '3']",13,2,15,99.8,,,,,🎯 Perfect (1/1),56.96,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,411-5682,99.8%,100.0%,0,99.8,,,,,,,,,,100,98.5,0,1,2,0,1,❌ None
18,19,1,100,26,4903,1,✅ Complete Match (1/1),Step 2: Best Match,2,2,2,22,0,20,100.0%,9.1%,✅ Equal,24,4,20,26_Recombination events.csv|4903,4903,26_Recombination events.csv,1848,10000,['2'],1000,0.000025,0.01,0.1,5000,50,1847,9966,1847-9966,['2'],"['33', '17', '3', '28', '43', '31', '13', '4', '8']","['25', '23']",1,34,35,99.6,,,,,🎯 Perfect (1/1),56.92,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1848-10000,99.6%,100.0%,0,99.6,,,,,,,,,,100,96.5,0,1,3,0,1,❌ None
19,20,1,100,82,5016,1,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,2,10,0,8,100.0%,20.0%,✅ Equal,12,4,8,82_Recombination events.csv|5016,5016,82_Recombination events.csv,708,6849,['34'],1000,0.000025,0.01,0.1,5000,50,704,6848,704-6848,['34'],['41'],['25'],4,1,5,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,708-6849,100.0%,100.0%,0,100,,,,,,,,,,100,99.5,0,1,1,0,1,❌ None
20,21,1,100,27,5017,3,Standard_Match,Step 1: Approximate,3,3,4,21,1,18,75.0%,14.3%,✅ Equal,25,6,19,27_Recombination events.csv|5017,5017,27_Recombination events.csv,2847,6987,['42'],1000,0.000025,0.01,0.1,5000,50,2849,6982,2849-6982,['42'],['28'],"['2', '24']",2,5,7,99.83091787439614,4140,1035,25,Exact Recombinant Match,,58.966183574879224,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2847-6987,99.8%,100.0%,0,99.83091787439614,,,,,,,,,,100,99.3,0,1,7,0,3,❌ None
21,22,1,100,39,4980,3,Standard_Match,Step 1: Approximate,5,4,6,14,1,10,83.3%,28.6%,❌ Diff: RDP=5 vs Santa=4,20,9,11,39_Recombination events.csv|4980,4980,39_Recombination events.csv,4956,7206,['17'],1000,0.000025,0.01,0.1,5000,50,4954,7206,4954-7206,['17'],['45'],"['5', '47', '50', '48', '44']",2,0,2,100,2250,562.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,4956-7206,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,3,❌ None
22,23,1,100,36,4867,1,Standard_Match,Step 1: Approximate,3,3,3,25,0,22,100.0%,12.0%,✅ Equal,28,6,22,36_Recombination events.csv|4867,4867,36_Recombination events.csv,3651,7026,['17'],1000,0.000025,0.01,0.1,5000,50,3654,7020,3654-7020,['17'],"['40', '41', '21', '22', '11', '10', '36', '30', '8']","['27', '48']",3,6,9,99.73333333333333,3375,843.8,25,Exact Recombinant Match,,58.94666666666667,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3651-7026,99.7%,100.0%,0,99.73333333333333,,,,,,,,,,100,99.1,0,1,7,0,1,❌ None
23,24,1,100,35,4914,2,Standard_Match,Step 1: Approximate,4,3,5,17,1,14,80.0%,17.6%,❌ Diff: RDP=4 vs Santa=3,22,7,15,35_Recombination events.csv|4914,4914,35_Recombination events.csv,735,2298,['37'],1000,0.000025,0.01,0.1,5000,50,736,2298,736-2298,['37'],"['19', '39', '1']","['45', '27', '29', '16']",1,0,1,99.9360204734485,1563,390.8,25,Exact Recombinant Match,,58.9872040946897,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,735-2298,99.9%,100.0%,0,99.9360204734485,,,,,,,,,,100,99.9,0,1,7,0,2,❌ None
24,25,1,100,91,4940,1,Standard_Match,Step 1: Approximate,3,3,3,14,0,11,100.0%,21.4%,✅ Equal,17,6,11,91_Recombination events.csv|4940,4940,91_Recombination events.csv,7647,10000,['8'],1000,0.000025,0.01,0.1,5000,50,7680,9994,7680-9994,['8'],"['38', '42']","['31', '34', '9', '30']",33,6,39,98.34254143646409,2353,588.2,25,Exact Recombinant Match,,56.66850828729282,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7647-10000,98.3%,100.0%,0,98.34254143646409,,,,,,,,,,100,96.1,0,1,7,0,1,❌ None
25,26,1,100,4,4887,2,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,4,7,0,3,100.0%,57.1%,✅ Equal,11,8,3,4_Recombination events.csv|4887,4887,4_Recombination events.csv,291,2322,['7'],1000,0.000025,0.01,0.1,5000,50,288,2319,288-2319,['7'],"['15', '11']","['40', '33', '36', '9']",3,3,6,99.9,,,,,🎯 Perfect (1/1),58.980000000000004,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,291-2322,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.4,0,1,2,0,2,❌ None
26,27,1,100,33,4874,1,✅ Complete Match (1/1),Step 2: Best Match,4,4,4,18,0,14,100.0%,22.2%,✅ Equal,22,8,14,33_Recombination events.csv|4874,4874,33_Recombination events.csv,8157,10000,['30'],1000,0.000025,0.01,0.1,5000,50,8154,9976,8154-9976,['30'],['1'],['34'],3,24,27,98.7,,,,,🎯 Perfect (1/1),56.74,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8157-10000,98.7%,100.0%,0,98.7,,,,,,,,,,100,97.3,0,1,3,0,1,❌ None
27,28,1,100,32,4936,1,Standard_Match,Step 1: Approximate,1,1,1,16,0,15,100.0%,6.2%,✅ Equal,17,2,15,32_Recombination events.csv|4936,4936,32_Recombination events.csv,8859,10000,['48'],1000,0.000025,0.01,0.1,5000,50,8846,9990,8846-9990,['48'],['43'],['25'],13,10,23,99.12357581069237,1141,285.2,25,Exact Recombinant Match,,56.824715162138475,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8859-10000,99.1%,100.0%,0,99.12357581069237,,,,,,,,,,100,97.7,0,1,7,0,1,❌ None
